Día,Damage Promedio,Densidad Promedio,Fracción de Volumen Promedio,Energia de Deformacion,Modulo de elasticidad promedio,% de Cenizas alpha,Promedios densida tejido
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2250723768758576e-09,1.501448457799945,0.6788181399225418,214.67393395864073,9939951.678104572,0.6215943489999999,2.21185671021
3,3.4675391447080983e-09,1.5014484564862383,0.6788181393286035,212.17361729373968,9939951.65581456,0.6215943489999999,2.21185671021
4,6.533230401117862e-09,1.5014484546900306,0.678818138516522,208.64380976470076,9939951.625341738,0.6215943489999999,2.21185671021
5,1.0242102610469317e-08,1.5014484525166154,0.6788181375339019,204.3545877526065,9939951.588475727,0.6215943489999999,2.21185671021
6,1.4427910532965882e-08,1.5014484500632312,0.6788181364247052,199.55779546424813,9939951.546868999,0.6215943489999999,2.21185671021
7,1.89381293980162e-08,1.5014484474191276,0.6788181352292822,194.46530415971125,9939951.50203764,0.6215943489999999,2.21185671021
8,2.3633925039234782e-08,1.5014484446655918,0.6788181339843845,189.24383340106638,9939951.455361659,0.6215943489999999,2.21185671021
9,2.8390151118884432e-08,1.501448441875951,0.678818132723163,184.018030452744,9939951.408085002,0.6215943489999999,2.21185671021
10,3.3095372775626686e-08,1.5014484391155536,0.678818131475163,178.87695164848822,9939951.361315325,0.6215943489999999,2.21185671021
11,3.765189870996721e-08,1.5014484364417393,0.6788181302663079,173.88129523440722,9939951.316023678,0.6215943489999999,2.21185671021
12,4.1975819597972475e-08,1.5014484339038072,0.6788181291188863,169.07009217910326,9939951.273044113,0.6215943489999999,2.21185671021
13,4.599704916952163e-08,1.5014484315429797,0.6788181280515354,164.46632905841773,9939951.233073285,0.6215943489999999,2.21185671021
14,4.9659364842469245e-08,1.5014484293923682,0.6788181270792248,160.0814299344761,9939951.196670044,0.6215943489999999,2.21185671021
15,5.292044291671516e-08,1.5014484274769415,0.6788181262132437,155.9186948675768,9939951.164255086,0.6215943489999999,2.21185671021
16,5.575189609974274e-08,1.501448425813495,0.6788181254611847,151.97586824826774,9939951.136110578,0.6215943489999999,2.21185671021
17,5.813930337161821e-08,1.5014484244106234,0.6788181248269339,148.24701792221052,9939951.112379866,0.6215943489999999,2.21185671021
18,6.008223829567783e-08,1.5014484232686955,0.6788181243106581,144.72389115737784,9939951.093067186,0.6215943489999999,2.21185671021
19,6.159429621899193e-08,1.5014484223798337,0.6788181239087958,141.3968822824932,9939951.078037404,0.6215943489999999,2.21185671021
20,6.270311458944633e-08,1.5014484217278918,0.6788181236140474,138.25570238416944,9939951.067015802,0.6215943489999999,2.21185671021
21,6.345039527122509e-08,1.5014484212884396,0.678818123415367,135.2898413394072,9939951.059587868,0.6215943489999999,2.21185671021
22,6.38919214202005e-08,1.5014484210287464,0.6788181232979575,132.48888116060544,9939951.05519912,0.6215943489999999,2.21185671021
23,6.409757247194392e-08,1.5014484209077676,0.678818123243262,129.84270315803195,9939951.053154958,0.6215943489999999,2.21185671021
24,6.415134079507112e-08,1.5014484208761325,0.6788181232289592,127.34161215993885,9939951.052620504,0.6215943489999999,2.21185671021
25,6.415134079507112e-08,1.5014484208761325,0.6788181232289592,124.97641054494497,9939951.052620504,0.6215943489999999,2.21185671021
26,9.782742993458271e-08,1.5014484010587335,0.6788181142693377,126.77251716809319,9939950.717881804,0.6215943489999999,2.21185671021
27,1.3283821354015402e-07,1.5014483804593561,0.6788181049561769,129.53681286291553,9939950.369876307,0.6215943489999999,2.21185671021
28,1.6918093359574726e-07,1.5014483590803909,0.6788180952905575,132.76595158040848,9939950.008631425,0.6215943489999999,2.21185671021
29,2.0685220258886972e-07,1.501448336924776,0.6788180852738078,136.59145133636434,9939949.63418083,0.6215943489999999,2.21185671021
30,2.4584775437652695e-07,1.5014483139962091,0.6788180749075998,141.20568753518023,9939949.24656693,0.6215943489999999,2.21185671021
31,2.8616206071419015e-07,1.5014482902994801,0.6788180641940987,146.9046028550489,9939948.845844673,0.6215943489999999,2.21185671021
32,3.2778767455887703e-07,1.50144826584104,0.6788180531362216,154.17506982355013,9939948.432088083,0.6215943489999999,2.21185671021
33,-1.1472344420448977e-05,1.5014558043250457,0.678821461351578,152.45826305163638,9940065.724831047,0.6215943489999999,2.21185671021
34,-2.3660688685422926e-05,1.5014635929991906,0.678824982680111,149.48354882081,9940186.876384223,0.6215943489999999,2.21185671021
35,-3.6237953961570923e-05,1.501471632350267,0.678828617341904,146.6897133926246,9940311.893793466,0.6215943489999999,2.21185671021
36,-4.9204825808280006e-05,1.5014799228489635,0.6788323655497596,144.05909933266398,9940440.783873195,0.6215943489999999,2.21185671021
37,-6.256196842491235e-05,1.5014884649517874,0.6788362275100686,141.57653855722629,9940573.553225525,0.6215943489999999,2.21185671021
38,-7.631002417674004e-05,1.5014972591005016,0.6788402034225557,139.22889122781046,9940710.208235534,0.6215943489999999,2.21185671021
39,-9.044961331516888e-05,1.501506305721862,0.6788442934801615,137.00469200607162,9940850.75506849,0.6215943489999999,2.21185671021
40,-0.00010498133386405151,1.50151560522766,0.6788484978690602,134.89387100519377,9940995.199668722,0.6215943489999999,2.21185671021
41,-0.0001199057613301413,1.5015251580142348,0.6788528167684406,132.88753284564555,9941143.547756739,0.6215943489999999,2.21185671021
42,-0.00013522344852012758,1.5015349644621947,0.6788572503503785,130.97777871186494,9941295.804827414,0.6215943489999999,2.21185671021
43,-0.00015093492567896938,1.5015450249368527,0.6788617987800355,129.1575597616203,9941451.976151356,0.6215943489999999,2.21185671021
44,-0.0001670407003708796,1.5015553397880053,0.6788664622155578,127.42055833444,9941612.06677373,0.6215943489999999,2.21185671021
45,-0.00018354125738051508,1.5015659093497409,0.6788712408079898,125.7610889088508,9941776.081513269,0.6215943489999999,2.21185671021
46,-0.0002004370585164672,1.5015767339399713,0.6788761347010619,124.17401593791946,9941944.024960328,0.6215943489999999,2.21185671021
47,-0.00021772854262835928,1.5015878138604803,0.6788811440312129,122.65468455792457,9942115.901477054,0.6215943489999999,2.21185671021
